opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-00001,GP&A,Enterprise,Company 1001 - Data Platform Modernization,Prove,Owner 22,Closed Won,Q1 FY24,Analytics & Reporting,114499,POC run,2023-12-22,2024-02-04,,2024-03-16,5,2024-03-26,Company 1001,Parent Account 134,Head of Data,Yes,,Yes,,,,Competitor C,Partner Y,Security posture
OPP-HIST-00002,APAC,Mid-Market,Company 1002 - Customer 360 View,Commit,Owner 154,Closed Won,Q1 FY25,Data Platform Modernization,227883,POC run,2024-12-11,,2025-02-02,,,2025-04-12,Company 1002,Parent Account 68,Cloud Arch,,Yes,,Does not scale,Renewal soon,Strong roadmap,Competitor C,Partner X,Faster release
OPP-HIST-00003,GP&A,Enterprise,Company 1003 - AI/ML Enablement,Prove,Owner 104,Closed Won,Q3 FY24,Data Platform Modernization,22493,,2024-05-23,2024-06-21,,,20,2024-09-26,Company 1003,Parent Account 144,Cloud Arch,,Yes,Yes,,Budget expires FY,Low TCO,Competitor C,None,Reduce Ops
OPP-HIST-00004,EMEA,SMB,Company 1004 - Security & Compliance,Commit,Owner 32,Closed Lost,Q2 FY24,Data Platform Modernization,88794,Procurement alignment,2024-01-19,2024-02-04,,,15,2024-06-12,Company 1004,Parent Account 128,CIO,No,No,Yes,Fragmented tools,,,Competitor B,Partner X,Visibility
OPP-HIST-00005,NORAM,Mid-Market,Company 1005 - DevOps & Automation,Commit,Owner 32,Closed Lost,Q1 FY24,Data Platform Modernization,37969,POC run,2023-11-25,,,2024-02-02,44,2024-03-20,Company 1005,,Director IT,No,Yes,,,Budget expires FY,Strong roadmap,Competitor C,Partner X,Faster release
OPP-HIST-00006,GP&A,Public Sector,Company 1006 - Cloud Cost Optimization,Commit,Owner 117,Closed Lost,Q3 FY24,Data Platform Modernization,42574,Procurement alignment,2024-05-15,2024-05-21,2024-06-22,,,2024-09-03,Company 1006,Parent Account 116,CTO,No,,,,Budget expires FY,,Status Quo,None,
OPP-HIST-00007,EMEA,SMB,Company 1007 - Analytics & Reporting,Explore,Owner 194,Closed Won,Q2 FY25,DevOps & Automation,39550,Deep dive,2025-02-11,2025-03-02,2025-03-11,,36,2025-06-20,Company 1007,Parent Account 136,,Yes,No,Yes,,Exec mandate,,Competitor C,None,Reduce Ops
OPP-HIST-00008,NORAM,Public Sector,Company 1008 - Data Platform Modernization,Prove,Owner 59,Closed Lost,Q2 FY25,Customer 360 View,32702,POC run,2025-03-04,2025-04-12,,,,2025-07-21,Company 1008,Parent Account 20,CIO,Yes,,No,,M&A drive,Best fit,Competitor B,GSII,
OPP-HIST-00009,EMEA,Public Sector,Company 1009 - Customer 360 View,Commit,Owner 162,Closed Won,Q2 FY24,Cloud Cost Optimization,61942,,2024-02-28,2024-03-28,2024-04-07,,40,2024-07-20,Company 1009,Parent Account 71,Head of Data,Yes,No,Yes,,Budget expires FY,,Competitor C,GSII,Faster release
OPP-HIST-00010,NORAM,Mid-Market,Company 1010 - Security & Compliance,Prove,Owner 118,Closed Won,Q3 FY24,DevOps & Automation,33467,,2024-04-07,,,,45,2024-08-25,Company 1010,Parent Account 159,,Yes,No,,Fragmented tools,Budget expires FY,,Competitor A,None,Reduce Ops
OPP-HIST-00011,LAC,Public Sector,Company 1011 - Customer 360 View,Commit,Owner 85,Closed Lost,Q1 FY25,Security & Compliance,72353,Implementation plan,2024-10-28,2024-11-05,2024-11-18,2024-12-04,,2024-12-23,Company 1011,,Head of Data,Yes,,No,Does not scale,,Strong roadmap,Status Quo,Consulting Co,Visibility
OPP-HIST-00012,NORAM,Public Sector,Company 1012 - Security & Compliance,Explore,Owner 62,Closed Won,Q2 FY24,Customer 360 View,57805,,2024-03-26,2024-04-06,2024-04-12,2024-04-29,10,2024-06-15,Company 1012,,Head of Data,Yes,Yes,Yes,Does not scale,,References match,Competitor B,Partner Y,Reduce Ops
OPP-HIST-00013,EMEA,Enterprise,Company 1013 - Cloud Cost Optimization,Explore,Owner 200,Closed Won,Q1 FY24,Analytics & Reporting,50652,POC run,2023-11-07,2023-12-19,2024-01-19,2024-01-26,,2024-04-08,Company 1013,Parent Account 7,Cloud Arch,,Yes,,Legacy expensive,Renewal soon,,Status Quo,Partner X,Reduce Ops
OPP-HIST-00014,EMEA,Strategic Accounts,Company 1014 - Customer 360 View,Explore,Owner 39,Closed Won,Q2 FY24,Analytics & Reporting,31720,Exec sponsor confirm,2024-03-21,,,2024-06-18,21,2024-07-30,Company 1014,,Head of Data,Yes,,No,Fragmented tools,Renewal soon,Best fit,Competitor C,Partner X,Security posture
OPP-HIST-00015,EMEA,SMB,Company 1015 - Analytics & Reporting,Explore,Owner 148,Closed Lost,Q1 FY24,DevOps & Automation,39985,POC run,2023-11-08,2023-12-06,2024-01-02,2024-02-10,18,2024-03-09,Company 1015,Parent Account 183,CIO,Yes,Yes,No,Fragmented tools,,,Competitor A,Partner X,Faster release
OPP-HIST-00016,NORAM,Public Sector,Company 1016 - Security & Compliance,Prove,Owner 184,Closed Won,Q3 FY25,Customer 360 View,101597,Procurement alignment,2025-05-16,2025-06-23,2025-07-29,2025-08-01,36,2025-09-25,Company 1016,Parent Account 103,VP Eng,,No,No,Does not scale,,References match,Competitor B,GSII,
OPP-HIST-00017,APAC,Mid-Market,Company 1017 - AI/ML Enablement,Explore,Owner 185,Closed Lost,Q3 FY24,Data Platform Modernization,85020,POC run,2024-04-17,,2024-05-14,2024-06-15,27,2024-07-17,Company 1017,Parent Account 48,VP Eng,Yes,No,No,Does not scale,Renewal soon,Low TCO,Status Quo,None,Reduce Ops
OPP-HIST-00018,NORAM,Mid-Market,Company 1018 - Analytics & Reporting,Prove,Owner 50,Closed Lost,Q3 FY24,Customer 360 View,30203,Proposal review,2024-04-03,,2024-05-16,,24,2024-07-27,Company 1018,Parent Account 182,CIO,Yes,,No,Fragmented tools,,Low TCO,Competitor B,Consulting Co,
OPP-HIST-00019,APAC,Strategic Accounts,Company 1019 - Customer 360 View,Prove,Owner 200,Closed Won,Q1 FY25,Cloud Cost Optimization,64185,POC run,2024-11-27,2024-12-02,2024-12-31,2025-01-05,8,2025-01-20,Company 1019,,CTO,Yes,No,Yes,,M&A drive,,Competitor C,None,Visibility
OPP-HIST-00020,APAC,Public Sector,Company 1020 - DevOps & Automation,Commit,Owner 74,Closed Won,Q3 FY25,Customer 360 View,101313,,2025-05-23,2025-05-26,2025-07-07,2025-07-23,,2025-09-15,Company 1020,Parent Account 60,Director IT,No,Yes,,Legacy expensive,,,Competitor C,Consulting Co,
OPP-HIST-00021,GP&A,Strategic Accounts,Company 1021 - AI/ML Enablement,Commit,Owner 12,Closed Won,Q2 FY25,Cloud Cost Optimization,18609,POC run,2025-03-28,2025-04-18,,2025-06-04,,2025-08-09,Company 1021,,Director IT,Yes,Yes,Yes,Legacy expensive,M&A drive,Low TCO,Competitor A,Consulting Co,Reduce Ops
