opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-00001,Next Steps,POC run,POC run - minor,2024-01-11
OPP-HIST-00002,Next Steps,POC run,POC run - update,2025-01-06
OPP-HIST-00002,Next Steps,POC run - update,Exec sponsor confirm,2025-01-23
OPP-HIST-00002,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-03-03
OPP-HIST-00003,Next Steps,,POC run,2024-06-20
OPP-HIST-00003,Next Steps,POC run,POC run - pending,2024-07-18
OPP-HIST-00004,Next Steps,Procurement alignment,Procurement alignment - pending,2024-02-26
OPP-HIST-00004,Next Steps,Procurement alignment - pending,Procurement alignment - pending - update,2024-03-11
OPP-HIST-00004,Next Steps,Procurement alignment - pending - update,Procurement alignment - pending - update - update,2024-04-17
OPP-HIST-00004,Next Steps,Procurement alignment - pending - update - update,Procurement alignment - pending - update - update - follow up,2024-05-13
OPP-HIST-00005,Next Steps,POC run,POC run - pending,2023-12-20
OPP-HIST-00005,Next Steps,POC run - pending,Implementation plan,2024-01-28
OPP-HIST-00005,Next Steps,Implementation plan,Implementation plan - update,2024-02-08
OPP-HIST-00005,Next Steps,Implementation plan - update,Proposal review,2024-02-24
OPP-HIST-00005,Next Steps,Proposal review,Proposal review (no change),2024-03-15
OPP-HIST-00007,Next Steps,Deep dive,Deep dive - follow up,2025-03-20
OPP-HIST-00007,Next Steps,Deep dive - follow up,Deep dive - follow up - pending,2025-03-26
OPP-HIST-00008,Next Steps,POC run,POC run - update,2025-03-19
OPP-HIST-00011,Next Steps,Implementation plan,Implementation plan (no change),2024-11-16
OPP-HIST-00011,Next Steps,Implementation plan (no change),Procurement alignment,2024-12-08
OPP-HIST-00012,Next Steps,,Deep dive,2024-05-02
OPP-HIST-00012,Next Steps,Deep dive,Deep dive - pending,2024-05-27
OPP-HIST-00013,Next Steps,POC run,Procurement alignment,2023-11-15
OPP-HIST-00013,Next Steps,Procurement alignment,Deep dive,2023-12-12
OPP-HIST-00013,Next Steps,Deep dive,Deep dive,2024-01-01
OPP-HIST-00013,Next Steps,Deep dive,Deep dive - pending,2024-01-13
OPP-HIST-00013,Next Steps,Deep dive - pending,Deep dive - pending - update,2024-02-14
OPP-HIST-00014,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-04-10
OPP-HIST-00015,Next Steps,POC run,Exec sponsor confirm,2023-12-11
OPP-HIST-00016,Next Steps,Procurement alignment,Implementation plan,2025-05-23
OPP-HIST-00016,Next Steps,Implementation plan,Implementation plan - pending,2025-06-18
OPP-HIST-00016,Next Steps,Implementation plan - pending,Implementation plan - pending - pending,2025-07-24
OPP-HIST-00016,Next Steps,Implementation plan - pending - pending,Implementation plan - pending - pending - pending,2025-08-28
OPP-HIST-00017,Next Steps,POC run,POC run - follow up,2024-04-22
OPP-HIST-00017,Next Steps,POC run - follow up,POC run - follow up (no change),2024-05-19
