opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0001,NORAM,Mid-Market,Company 1 - DevOps & Automation,Explore,Owner 174,0,Q1 FY26,DevOps & Automation,80662,Implementation plan,2025-10-07,,,,,,Company 1,,CIO,,,Yes,,Exec mandate,Low TCO,Competitor B,Consulting Co,
OPP-FY26-0002,APAC,SMB,Company 2 - Analytics & Reporting,Prove,Owner 155,1,Q3 FY26,Data Platform Modernization,55107,,2026-04-14,2026-05-08,,,,,Company 2,,Infra Lead,Yes,,No,Does not scale,,Best fit,Competitor A,Partner Y,Visibility
OPP-FY26-0003,APAC,Public Sector,Company 3 - DevOps & Automation,Explore,Owner 137,3,Q2 FY26,DevOps & Automation,88310,Implementation plan,2026-03-12,2026-04-07,2026-04-20,2026-05-16,,,Company 3,Parent Account 119,Director IT,Yes,,Yes,,Budget expires FY,,Internal Build,Consulting Co,
OPP-FY26-0004,LAC,Strategic Accounts,Company 4 - Customer 360 View,Prove,Owner 93,1,Q1 FY26,Security & Compliance,149315,Exec sponsor confirm,2025-12-03,2026-01-10,,,,,Company 4,,CTO,Yes,,Yes,Reg risk,M&A drive,References match,Status Quo,Partner X,Visibility
OPP-FY26-0005,EMEA,Public Sector,Company 5 - Analytics & Reporting,Explore,Owner 130,4,Q3 FY26,Cloud Cost Optimization,52026,Implementation plan,2026-04-11,,,,74,,Company 5,,VP Eng,,Yes,Yes,,Exec mandate,,Competitor B,None,
OPP-FY26-0006,LAC,Public Sector,Company 6 - AI/ML Enablement,Explore,Owner 139,3,Q3 FY26,Analytics & Reporting,52026,,2026-04-27,,2026-06-10,2026-06-21,,,Company 6,,CTO,No,No,,,Renewal soon,Best fit,Competitor A,Partner X,
OPP-FY26-0007,NORAM,SMB,Company 7 - DevOps & Automation,Prove,Owner 55,0,Q3 FY26,Customer 360 View,154434,,2026-05-09,,,,,,Company 7,Parent Account 147,Head of Data,No,,No,Reg risk,Renewal soon,,Competitor C,Partner X,
OPP-FY26-0008,LAC,Enterprise,Company 8 - Cloud Cost Optimization,Explore,Owner 43,4,Q2 FY26,AI/ML Enablement,94888,,2026-01-23,2026-02-03,2026-03-05,,175,,Company 8,Parent Account 55,Cloud Arch,,Yes,No,,,,Competitor A,None,Visibility
OPP-FY26-0009,LAC,Mid-Market,Company 9 - Cloud Cost Optimization,Commit,Owner 21,0,Q1 FY26,Analytics & Reporting,45175,Exec sponsor confirm,2025-10-13,,,,,,Company 9,Parent Account 153,CIO,Yes,Yes,Yes,Reg risk,Exec mandate,Best fit,Competitor C,Partner Y,Security posture
OPP-FY26-0010,APAC,Enterprise,Company 10 - Customer 360 View,Explore,Owner 130,2,Q2 FY26,Data Platform Modernization,82912,Exec sponsor confirm,2026-01-26,,2026-02-25,,,,Company 10,Parent Account 90,CIO,No,No,No,Fragmented tools,Exec mandate,Low TCO,Competitor B,GSII,Visibility
OPP-FY26-0011,EMEA,Enterprise,Company 11 - Cloud Cost Optimization,Commit,Owner 109,4,Q1 FY26,Analytics & Reporting,45340,POC run,2025-11-09,2025-11-29,,2026-01-30,227,,Company 11,Parent Account 1,VP Eng,,No,No,,Budget expires FY,Strong roadmap,Competitor B,Consulting Co,
OPP-FY26-0012,EMEA,Public Sector,Company 12 - Analytics & Reporting,Prove,Owner 159,2,Q3 FY26,DevOps & Automation,45277,Proposal review,2026-05-19,,2026-06-18,,,,Company 12,Parent Account 61,,Yes,,No,Reg risk,,Low TCO,Competitor A,Consulting Co,
OPP-FY26-0013,APAC,SMB,Company 13 - Data Platform Modernization,Commit,Owner 131,3,Q1 FY26,AI/ML Enablement,69229,POC run,2025-12-29,,,2026-02-23,,,Company 13,Parent Account 138,VP Eng,Yes,,,,Exec mandate,Low TCO,Status Quo,Partner Y,
OPP-FY26-0014,LAC,SMB,Company 14 - DevOps & Automation,Explore,Owner 185,3,Q1 FY26,Data Platform Modernization,18996,Implementation plan,2025-10-01,,2025-12-13,2026-01-27,,,Company 14,Parent Account 171,Director IT,No,Yes,No,Legacy expensive,Exec mandate,,Competitor B,Consulting Co,Security posture
OPP-FY26-0015,APAC,SMB,Company 15 - Customer 360 View,Commit,Owner 163,3,Q2 FY26,Customer 360 View,21269,,2026-03-22,2026-04-07,2026-05-12,2026-06-14,,,Company 15,Parent Account 193,CTO,Yes,,Yes,Fragmented tools,Budget expires FY,References match,Competitor B,Partner Y,Visibility
OPP-FY26-0016,LAC,Strategic Accounts,Company 16 - Cloud Cost Optimization,Commit,Owner 64,0,Q3 FY26,Analytics & Reporting,42728,,2026-04-18,,,,,,Company 16,Parent Account 35,Cloud Arch,No,No,No,Reg risk,M&A drive,Best fit,Competitor C,None,Faster release
OPP-FY26-0017,LAC,Enterprise,Company 17 - Security & Compliance,Explore,Owner 60,2,Q2 FY26,AI/ML Enablement,32607,POC run,2026-01-21,,2026-02-18,,,,Company 17,Parent Account 181,,No,No,Yes,Reg risk,Renewal soon,References match,Competitor C,GSII,Faster release
OPP-FY26-0018,EMEA,Strategic Accounts,Company 18 - DevOps & Automation,Explore,Owner 120,3,Q2 FY26,Security & Compliance,72297,,2026-02-15,2026-03-24,,2026-05-21,,,Company 18,,,No,,,,Exec mandate,Best fit,Competitor C,Consulting Co,Security posture
OPP-FY26-0019,APAC,Enterprise,Company 19 - Analytics & Reporting,Explore,Owner 64,3,Q1 FY26,Security & Compliance,34723,,2025-12-04,2025-12-12,,2026-01-18,,,Company 19,,,Yes,Yes,Yes,Does not scale,Budget expires FY,Low TCO,Competitor B,GSII,Visibility
OPP-FY26-0020,NORAM,Enterprise,Company 20 - DevOps & Automation,Prove,Owner 176,2,Q2 FY26,Customer 360 View,25658,,2026-02-25,2026-03-24,2026-04-21,,,,Company 20,,Cloud Arch,Yes,No,Yes,,M&A drive,Low TCO,Competitor C,Consulting Co,Reduce Ops
